Handle,Title,Body (HTML),Vendor,Type,Tags,Status,Variant SKU,Variant Price,Image Src,Image Position
pisaderas-tabulares,Tabulares,<p>Más estética.</p><p><strong>Tipo:</strong> Más estética<br><strong>Procedencia:</strong> China<br><strong>Material:</strong> Acero</p>,ISperformance,Pisaderas,"Pisaderas, Más estética",active,PIS-020,0,https://daretoh.github.io/ISGROUP/isperformance/img/pisaderas/TABULARES.jpg,1
pisaderas-tabulares,,,,,,,,,https://daretoh.github.io/ISGROUP/isperformance/img/pisaderas/TABULARES1.jpg,2
barras-keko-k1,Keko K1,<p>Diseño único para cada vehículo.</p><p><strong>Tipo:</strong> Diseño único<br><strong>Procedencia:</strong> Brasil<br><strong>Material:</strong> Aluminio</p>,ISperformance,Barras,"Barras, Diseño único",active,BAR-021,0,https://daretoh.github.io/ISGROUP/isperformance/img/barras/KEKO_K1.jpg,1
barras-keko-k1,,,,,,,,,https://daretoh.github.io/ISGROUP/isperformance/img/barras/KEKO_K11.jpg,2
barras-keko-k1,,,,,,,,,https://daretoh.github.io/ISGROUP/isperformance/img/barras/KEKO_K12.jpg,3
barras-keko-k3,Keko K3,<p>Diseño más elegante.</p><p><strong>Tipo:</strong> Diseño elegante<br><strong>Procedencia:</strong> Brasil<br><strong>Material:</strong> Aluminio</p>,ISperformance,Barras,"Barras, Diseño elegante",active,BAR-022,0,https://daretoh.github.io/ISGROUP/isperformance/img/barras/KEKO_K3.jpg,1
barras-especiales,Especiales,"<p>Fabricadas con tubos de acero de 2"".</p><p><strong>Tipo:</strong> Tubos acero 2""<br><strong>Procedencia:</strong> Brasil<br><strong>Material:</strong> Aluminio</p>",ISperformance,Barras,"Barras, Tubos acero 2",active,BAR-023,0,https://daretoh.github.io/ISGROUP/isperformance/img/barras/ESPECIALES.jpg,1
barras-básica,Básica,<p>Sin tapas laterales interior.</p><p><strong>Tipo:</strong> Sin tapas laterales<br><strong>Procedencia:</strong> China<br><strong>Material:</strong> Acero inoxidable</p>,ISperformance,Barras,"Barras, Sin tapas laterales",active,BAR-024,0,https://daretoh.github.io/ISGROUP/isperformance/img/barras/BASICA.jpg,1
barras-premium,Premium,<p>Con tapas laterales interior.</p><p><strong>Tipo:</strong> Con tapas laterales<br><strong>Procedencia:</strong> China<br><strong>Material:</strong> Acero inoxidable</p>,ISperformance,Barras,"Barras, Con tapas laterales",active,BAR-025,0,https://daretoh.github.io/ISGROUP/isperformance/img/barras/PREMIUM.jpg,1
barras-premium,,,,,,,,,https://daretoh.github.io/ISGROUP/isperformance/img/barras/PREMIUM1.jpg,2
barras-negras,Negras,<p>+ 5 Modelos diferentes.</p><p><strong>Tipo:</strong> + 5 modelos<br><strong>Procedencia:</strong> China<br><strong>Material:</strong> Acero al carbono</p>,ISperformance,Barras,"Barras, + 5 modelos",active,BAR-026,0,https://daretoh.github.io/ISGROUP/isperformance/img/barras/NEGRAS.jpg,1
barras-negras,,,,,,,,,https://daretoh.github.io/ISGROUP/isperformance/img/barras/NEGRAS1.jpg,2
barras-negras,,,,,,,,,https://daretoh.github.io/ISGROUP/isperformance/img/barras/NEGRAS2.jpg,3
